Country,2025 GDP
Afghanistan,17996
Albania,28372
Algeria,268885
Andorra,4035
Angola,113343
Antigua and Barbuda,2373
Argentina,683533
Armenia,26258
Aruba,4100
Australia,1771681
Austria,534301
Azerbaijan,78870
Bahamas,15178
Bahrain,47829
Bangladesh,467218
Barbados,7552
Belarus,71561
Belgium,684864
Belize,3611
Benin,22236
Bhutan,3422
Bolivia,56339
Bosnia and Herzegovina,28807
Botswana,19400
Brazil,2125958
Brunei,16007
Bulgaria,117007
Burkina Faso,27056
Burundi,6745
Cape Verde,2786
Cambodia,49799
Cameroon,56011
Canada,2225341
Central African Republic,2932
Chad,18792
Chile,343823
China,19231705
Colombia,427766
Comoros,1548
Democratic Republic of the Congo,79119
Republic of the Congo,15281
Costa Rica,102591
Ivory Coast,94483
Croatia,98951
Cyprus,38736
Czech Republic,360244
Denmark,449940
Djibouti,4587
Dominica,742
Dominican Republic,127828
Ecuador,125677
Egypt,347342
El Salvador,36749
Equatorial Guinea,12684
Eritrea,
Estonia,45004
Eswatini,5483
Ethiopia,117457
Fiji,6257
Finland,303945
France,3211292
Gabon,20391
Gambia,2771
Georgia,35353
Germany,4744804
Ghana,88332
Greece,267348
Grenada,1464
Guatemala,121177
Guinea,30094
Guinea-Bissau,2274
Guyana,25822
Haiti,33548
Honduras,38172
Hong Kong,423999
Hungary,237070
Iceland,35309
India,4187017
Indonesia,1429743
Iran,341013
Iraq,258020
Ireland,598840
Israel,583361
Italy,2422855
Jamaica,21411
Japan,4186431
Jordan,56102
Kazakhstan,300538
Kenya,131673
Kiribati,312
South Korea,1790322
Kosovo,11274
Kuwait,153101
Kyrgyzstan,19849
Laos,16322
Latvia,45535
Lebanon,
Lesotho,2404
Liberia,5166
Libya,47484
Lithuania,89192
Luxembourg,96613
Macau,53354
Madagascar,18708
Malawi,13959
Malaysia,444984
Maldives,7480
Mali,23208
Malta,25750
Marshall Islands,297
Mauritania,11470
Mauritius,15495
Mexico,1692640
Federated States of Micronesia,500
Moldova,19462
Mongolia,25804
Montenegro,8562
Morocco,165835
Mozambique,23771
Myanmar,64944
Namibia,14214
Nauru,169
Nepal,46080
Netherlands,1272011
New Zealand,248666
Nicaragua,21155
Niger,21874
Nigeria,188271
North Macedonia,17885
Norway,504276
Oman,104351
Pakistan,
Palau,333
Panama,91675
Papua New Guinea,32835
Paraguay,45465
Peru,303293
Philippines,497495
Poland,979960
Portugal,321440
Puerto Rico,122522
Qatar,222776
Romania,403395
Russia,2076396
Rwanda,14771
Samoa,1160
San Marino,2047
São Tomé and Príncipe,864
Saudi Arabia,1083749
Senegal,34728
Serbia,92549
Seychelles,2198
Sierra Leone,8386
Singapore,564774
Slovakia,147031
Slovenia,75224
Solomon Islands,1898
Somalia,12994
South Africa,410338
South Sudan,3998
Spain,1799511
Sri Lanka,
Saint Kitts and Nevis,1129
Saint Lucia,2632
Saint Vincent and the Grenadines,1242
Sudan,31506
Suriname,4506
Sweden,620297
Switzerland,947125
Syria,
Taiwan,804889
Tajikistan,14836
Tanzania,85977
Thailand,546224
Timor-Leste,2115
Togo,10023
Tonga,568
Trinidad and Tobago,26467
Tunisia,56291
Turkey,1437406
Turkmenistan,89054
Tuvalu,65
Uganda,64277
Ukraine,205742
United Arab Emirates,548598
United Kingdom,3839180
United States,30507217
Uruguay,79731
Uzbekistan,132484
Vanuatu,1267
Venezuela,108511
Vietnam,490970
Palestine,
Yemen,17401
Zambia,28910
Zimbabwe,38172
